2024-01-18 15:01:06.894 [info] Log level: Info
2024-01-18 15:01:06.894 [info] Validating found git in: "git"
2024-01-18 15:01:06.894 [info] Using git "2.43.0" from "git"
2024-01-18 15:01:06.894 [info] > git rev-parse --show-toplevel [13ms]
2024-01-18 15:01:06.894 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 15:01:07.142 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 15:01:07.409 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:01:11.932 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:01:17.192 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:01:20.906 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:01:21.503 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:03:59.129 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:04:01.160 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:04:04.427 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:04:13.432 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:04:13.964 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:04:14.928 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:04:36.520 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:04:44.963 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:04:59.214 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:07:10.811 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:07:39.849 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:07:40.251 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 15:08:10.997 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:08:52.410 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:08:54.550 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 15:08:55.335 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:09:07.586 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 15:09:29.077 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 15:09:40.483 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:22:26.479 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 15:22:39.337 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 15:55:35.577 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:55:36.541 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 15:55:37.048 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:55:37.492 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:55:39.964 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:55:40.997 [info] > git rev-parse --show-toplevel [4ms]
