2024-01-17 12:19:10.469 [info] Log level: Info
2024-01-17 12:19:10.469 [info] Validating found git in: "git"
2024-01-17 12:19:10.469 [info] Using git "2.43.0" from "git"
2024-01-17 12:19:10.469 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 12:19:10.645 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 12:19:10.842 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 12:19:11.113 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 12:19:15.994 [info] > git rev-parse --show-toplevel [10ms]
2024-01-17 12:19:16.634 [info] > git rev-parse --show-toplevel [6ms]
2024-01-17 12:19:17.488 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 12:19:17.895 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 12:22:02.815 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 12:38:03.774 [info] > git rev-parse --show-toplevel [10ms]
2024-01-17 13:02:22.464 [info] > git rev-parse --show-toplevel [9ms]
