2024-01-19 08:08:23.429 [info] Log level: Info
2024-01-19 08:08:23.429 [info] Validating found git in: "git"
2024-01-19 08:08:23.429 [info] Using git "2.43.0" from "git"
2024-01-19 08:08:23.429 [info] > git rev-parse --show-toplevel [253ms]
2024-01-19 08:08:23.430 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 08:08:23.462 [info] > git rev-parse --show-toplevel [8ms]
2024-01-19 08:08:23.478 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:08:23.492 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:08:23.501 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:08:23.512 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:08:23.540 [info] > git rev-parse --show-toplevel [18ms]
2024-01-19 08:08:23.553 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:08:23.561 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:08:23.803 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:08:31.219 [info] > git rev-parse --show-toplevel [6ms]
2024-01-19 08:08:51.794 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:09:12.924 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:12:33.352 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:12:36.313 [info] > git rev-parse --show-toplevel [16ms]
2024-01-19 08:18:56.660 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:19:17.775 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:42:35.938 [info] > git rev-parse --show-toplevel [29ms]
2024-01-19 08:42:51.432 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 08:42:55.499 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 08:42:56.910 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:44:09.513 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:44:25.127 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:44:37.804 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:44:46.504 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:44:51.302 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 08:45:10.534 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 08:45:29.988 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 08:45:32.098 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:06:53.100 [info] > git rev-parse --show-toplevel [6ms]
