2024-01-18 20:15:13.077 [info] Log level: Info
2024-01-18 20:15:13.077 [info] Validating found git in: "git"
2024-01-18 20:15:13.077 [info] Using git "2.43.0" from "git"
2024-01-18 20:15:13.077 [info] > git rev-parse --show-toplevel [14ms]
2024-01-18 20:15:13.082 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 20:15:13.100 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:15:13.122 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:15:13.145 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 20:15:13.175 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 20:15:13.214 [info] > git rev-parse --show-toplevel [18ms]
2024-01-18 20:15:15.030 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 20:15:15.144 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:15:15.708 [info] > git rev-parse --show-toplevel [37ms]
2024-01-18 20:15:16.177 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:15:16.411 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 20:15:28.109 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:15:31.982 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:15:33.620 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:16:34.645 [info] > git rev-parse --show-toplevel [13ms]
2024-01-18 20:16:36.800 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:16:41.955 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:16:45.082 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 20:16:47.000 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:16:52.202 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 20:16:53.414 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 20:17:33.797 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:17:34.209 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:17:56.830 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:18:06.133 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:18:14.047 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:19:12.042 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:19:17.690 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 20:19:34.542 [info] > git rev-parse --show-toplevel [17ms]
2024-01-18 20:23:54.450 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:24:06.773 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 20:26:11.373 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:26:32.654 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 20:28:18.961 [info] > git rev-parse --show-toplevel [22ms]
2024-01-18 20:28:20.934 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 20:37:07.431 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 20:37:10.332 [info] > git rev-parse --show-toplevel [20ms]
2024-01-18 20:37:25.737 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:37:26.190 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:37:26.819 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:37:27.157 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:37:27.512 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:37:57.902 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:39:37.578 [info] > git rev-parse --show-toplevel [23ms]
2024-01-18 20:39:45.701 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:40:25.477 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:40:27.095 [info] > git rev-parse --show-toplevel [10ms]
2024-01-18 20:51:05.617 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:51:11.419 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:51:16.559 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:51:21.927 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:51:22.601 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:51:27.777 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 21:06:50.252 [info] > git rev-parse --show-toplevel [22ms]
2024-01-18 21:07:16.909 [info] > git rev-parse --show-toplevel [5ms]
