2024-01-17 19:18:52.104 [info] Log level: Info
2024-01-17 19:18:52.104 [info] Validating found git in: "git"
2024-01-17 19:18:52.104 [info] Using git "2.43.0" from "git"
2024-01-17 19:18:52.104 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:18:52.351 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:18:52.489 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:18:52.891 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:18:56.447 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 19:18:56.746 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:19:01.589 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:19:05.588 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 19:19:06.518 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:24:23.447 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:28:17.607 [info] > git rev-parse --show-toplevel [11ms]
2024-01-17 19:37:01.103 [info] > git rev-parse --show-toplevel [8ms]
2024-01-17 19:38:05.450 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:42:43.494 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:44:47.372 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 19:44:51.782 [info] > git rev-parse --show-toplevel [9ms]
2024-01-17 19:44:53.824 [info] > git rev-parse --show-toplevel [11ms]
2024-01-17 19:45:26.261 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 19:45:30.077 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 19:45:31.172 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 20:05:45.402 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:07.553 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:08.545 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:16.578 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 20:06:20.130 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:21.269 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:25.790 [info] > git rev-parse --show-toplevel [7ms]
2024-01-17 20:06:28.757 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:06:48.825 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:07:07.087 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 20:07:10.777 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:08:09.365 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:08:15.784 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 20:08:18.640 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:08:20.805 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 20:09:01.723 [info] > git rev-parse --show-toplevel [6ms]
2024-01-17 20:09:13.754 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:09:15.324 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:10:07.897 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:10:25.833 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 20:10:26.445 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:10:27.841 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:10:29.437 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:10:46.977 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 20:11:14.894 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:11:25.822 [info] > git rev-parse --show-toplevel [6ms]
2024-01-17 20:11:26.610 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:11:28.776 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:11:35.856 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:11:36.580 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:11:37.251 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 20:13:06.618 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 20:13:32.716 [info] > git rev-parse --show-toplevel [3ms]
2024-01-17 20:13:44.056 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 20:14:22.783 [info] > git rev-parse --show-toplevel [6ms]
2024-01-17 20:15:20.287 [info] > git rev-parse --show-toplevel [3ms]
